date,temperature_2m
2015-01-01 00:00:00+00:00,-3.5805
2015-01-01 01:00:00+00:00,-3.8305
2015-01-01 02:00:00+00:00,-3.6805
2015-01-01 03:00:00+00:00,-3.6805
2015-01-01 04:00:00+00:00,-3.8805
2015-01-01 05:00:00+00:00,-4.1305003
2015-01-01 06:00:00+00:00,-4.3805003
2015-01-01 07:00:00+00:00,-4.0805
2015-01-01 08:00:00+00:00,-4.5305004
2015-01-01 09:00:00+00:00,-3.7805
2015-01-01 10:00:00+00:00,-2.1305
2015-01-01 11:00:00+00:00,-0.9305
2015-01-01 12:00:00+00:00,-0.7805
2015-01-01 13:00:00+00:00,0.3195
2015-01-01 14:00:00+00:00,1.7695
2015-01-01 15:00:00+00:00,1.9195
2015-01-01 16:00:00+00:00,1.4695001
2015-01-01 17:00:00+00:00,0.86950004
2015-01-01 18:00:00+00:00,0.0695
2015-01-01 19:00:00+00:00,-5.1305003
2015-01-01 20:00:00+00:00,-4.5805
2015-01-01 21:00:00+00:00,-5.3805003
2015-01-01 22:00:00+00:00,-6.1805
2015-01-01 23:00:00+00:00,-7.0305004
2015-01-02 00:00:00+00:00,-6.6805
2015-01-02 01:00:00+00:00,-6.3305
2015-01-02 02:00:00+00:00,-5.5805
2015-01-02 03:00:00+00:00,-5.0305004
2015-01-02 04:00:00+00:00,-5.5805
2015-01-02 05:00:00+00:00,-5.8305
2015-01-02 06:00:00+00:00,-5.4805
2015-01-02 07:00:00+00:00,-5.6805
2015-01-02 08:00:00+00:00,-5.1805
2015-01-02 09:00:00+00:00,-3.5805
2015-01-02 10:00:00+00:00,-0.5805
2015-01-02 11:00:00+00:00,1.3195
2015-01-02 12:00:00+00:00,2.7195
2015-01-02 13:00:00+00:00,2.9695
2015-01-02 14:00:00+00:00,3.7195
2015-01-02 15:00:00+00:00,3.5695
2015-01-02 16:00:00+00:00,2.9195
2015-01-02 17:00:00+00:00,2.6195
2015-01-02 18:00:00+00:00,2.5695
2015-01-02 19:00:00+00:00,2.1195
2015-01-02 20:00:00+00:00,1.8195
2015-01-02 21:00:00+00:00,1.5195
2015-01-02 22:00:00+00:00,1.2695
2015-01-02 23:00:00+00:00,1.1195
2015-01-03 00:00:00+00:00,0.9695
2015-01-03 01:00:00+00:00,0.8195
2015-01-03 02:00:00+00:00,0.7695
2015-01-03 03:00:00+00:00,1.3695
2015-01-03 04:00:00+00:00,0.5195
2015-01-03 05:00:00+00:00,0.8195
2015-01-03 06:00:00+00:00,0.7195
2015-01-03 07:00:00+00:00,0.2695
2015-01-03 08:00:00+00:00,0.5695
2015-01-03 09:00:00+00:00,1.1195
2015-01-03 10:00:00+00:00,1.7195001
2015-01-03 11:00:00+00:00,2.3695
2015-01-03 12:00:00+00:00,3.1195
2015-01-03 13:00:00+00:00,4.8195
2015-01-03 14:00:00+00:00,6.6695
2015-01-03 15:00:00+00:00,7.4694996
2015-01-03 16:00:00+00:00,7.6695
2015-01-03 17:00:00+00:00,7.7194996
2015-01-03 18:00:00+00:00,7.6194997
2015-01-03 19:00:00+00:00,8.3695
2015-01-03 20:00:00+00:00,8.4695
2015-01-03 21:00:00+00:00,8.2695
2015-01-03 22:00:00+00:00,8.0695
2015-01-03 23:00:00+00:00,7.8694997
2015-01-04 00:00:00+00:00,7.5195
2015-01-04 01:00:00+00:00,7.5195
2015-01-04 02:00:00+00:00,7.0695
2015-01-04 03:00:00+00:00,6.0195
2015-01-04 04:00:00+00:00,4.9694996
2015-01-04 05:00:00+00:00,4.1695
2015-01-04 06:00:00+00:00,3.2695
2015-01-04 07:00:00+00:00,2.6695
2015-01-04 08:00:00+00:00,2.3695
2015-01-04 09:00:00+00:00,2.1695
2015-01-04 10:00:00+00:00,2.5195
2015-01-04 11:00:00+00:00,2.9195
2015-01-04 12:00:00+00:00,3.5195
2015-01-04 13:00:00+00:00,3.8695
2015-01-04 14:00:00+00:00,3.6195
2015-01-04 15:00:00+00:00,3.1695
2015-01-04 16:00:00+00:00,2.5195
2015-01-04 17:00:00+00:00,1.9695001
2015-01-04 18:00:00+00:00,1.6695
2015-01-04 19:00:00+00:00,1.5195
2015-01-04 20:00:00+00:00,0.9695
2015-01-04 21:00:00+00:00,0.36949998
2015-01-04 22:00:00+00:00,-1.6305
2015-01-04 23:00:00+00:00,-2.5305
2015-01-05 00:00:00+00:00,-3.2305
2015-01-05 01:00:00+00:00,-3.8305
2015-01-05 02:00:00+00:00,-4.1805
2015-01-05 03:00:00+00:00,-4.4805
2015-01-05 04:00:00+00:00,-4.6305003
2015-01-05 05:00:00+00:00,-4.6305003
2015-01-05 06:00:00+00:00,-4.7305
2015-01-05 07:00:00+00:00,-4.5305004
2015-01-05 08:00:00+00:00,-4.4805
2015-01-05 09:00:00+00:00,-1.6805
2015-01-05 10:00:00+00:00,1.1695
2015-01-05 11:00:00+00:00,3.0195
2015-01-05 12:00:00+00:00,4.2194996
2015-01-05 13:00:00+00:00,4.8694997
2015-01-05 14:00:00+00:00,4.8694997
2015-01-05 15:00:00+00:00,4.0695
2015-01-05 16:00:00+00:00,1.7195001
2015-01-05 17:00:00+00:00,-1.0805
2015-01-05 18:00:00+00:00,-2.5305
2015-01-05 19:00:00+00:00,-3.2805
2015-01-05 20:00:00+00:00,-3.6305
2015-01-05 21:00:00+00:00,-3.7805
2015-01-05 22:00:00+00:00,-3.8805
2015-01-05 23:00:00+00:00,-3.9305
2015-01-06 00:00:00+00:00,-3.9805
2015-01-06 01:00:00+00:00,-3.9805
2015-01-06 02:00:00+00:00,-4.0305004
2015-01-06 03:00:00+00:00,-4.1305003
2015-01-06 04:00:00+00:00,-4.1305003
2015-01-06 05:00:00+00:00,-4.1805
2015-01-06 06:00:00+00:00,-4.2305
2015-01-06 07:00:00+00:00,-4.2805004
2015-01-06 08:00:00+00:00,-4.0305004
2015-01-06 09:00:00+00:00,-1.2804999
2015-01-06 10:00:00+00:00,2.3195
2015-01-06 11:00:00+00:00,4.7194996
2015-01-06 12:00:00+00:00,5.9694996
2015-01-06 13:00:00+00:00,6.5695
2015-01-06 14:00:00+00:00,6.5195
2015-01-06 15:00:00+00:00,5.4195
2015-01-06 16:00:00+00:00,2.2695
2015-01-06 17:00:00+00:00,0.2195
2015-01-06 18:00:00+00:00,-0.9305
2015-01-06 19:00:00+00:00,-1.9805
2015-01-06 20:00:00+00:00,-2.4805
2015-01-06 21:00:00+00:00,-2.8805
2015-01-06 22:00:00+00:00,-3.1805
2015-01-06 23:00:00+00:00,-3.4305
2015-01-07 00:00:00+00:00,-3.4805
2015-01-07 01:00:00+00:00,-3.2805
2015-01-07 02:00:00+00:00,-2.5305
2015-01-07 03:00:00+00:00,-1.8305
2015-01-07 04:00:00+00:00,-1.0805
2015-01-07 05:00:00+00:00,-0.5305
2015-01-07 06:00:00+00:00,-0.0805
2015-01-07 07:00:00+00:00,-0.38050002
2015-01-07 08:00:00+00:00,0.16950001
2015-01-07 09:00:00+00:00,1.1695
2015-01-07 10:00:00+00:00,2.6195
2015-01-07 11:00:00+00:00,3.4695
2015-01-07 12:00:00+00:00,4.0695
2015-01-07 13:00:00+00:00,4.8694997
2015-01-07 14:00:00+00:00,4.5695
2015-01-07 15:00:00+00:00,4.1695
2015-01-07 16:00:00+00:00,3.3695
2015-01-07 17:00:00+00:00,2.6195
2015-01-07 18:00:00+00:00,2.1195
2015-01-07 19:00:00+00:00,1.7695
2015-01-07 20:00:00+00:00,1.7195001
2015-01-07 21:00:00+00:00,1.9195
2015-01-07 22:00:00+00:00,1.7195001
2015-01-07 23:00:00+00:00,1.3195
2015-01-08 00:00:00+00:00,1.5195
2015-01-08 01:00:00+00:00,1.7695
2015-01-08 02:00:00+00:00,2.4695
2015-01-08 03:00:00+00:00,2.8695
2015-01-08 04:00:00+00:00,3.4195
2015-01-08 05:00:00+00:00,3.7695
2015-01-08 06:00:00+00:00,4.2194996
2015-01-08 07:00:00+00:00,4.2194996
2015-01-08 08:00:00+00:00,4.1695
2015-01-08 09:00:00+00:00,4.9195
2015-01-08 10:00:00+00:00,6.4195
2015-01-08 11:00:00+00:00,7.2695
2015-01-08 12:00:00+00:00,7.5695
2015-01-08 13:00:00+00:00,7.8694997
2015-01-08 14:00:00+00:00,7.9694996
2015-01-08 15:00:00+00:00,7.6695
2015-01-08 16:00:00+00:00,7.6695
2015-01-08 17:00:00+00:00,7.2194996
2015-01-08 18:00:00+00:00,7.1695
2015-01-08 19:00:00+00:00,7.1695
2015-01-08 20:00:00+00:00,7.1695
2015-01-08 21:00:00+00:00,7.2194996
2015-01-08 22:00:00+00:00,6.8694997
2015-01-08 23:00:00+00:00,6.4694996
2015-01-09 00:00:00+00:00,6.3694997
2015-01-09 01:00:00+00:00,6.1194997
2015-01-09 02:00:00+00:00,5.9195
2015-01-09 03:00:00+00:00,5.9694996
2015-01-09 04:00:00+00:00,5.7695
2015-01-09 05:00:00+00:00,5.6695
2015-01-09 06:00:00+00:00,5.3694997
2015-01-09 07:00:00+00:00,5.2695
2015-01-09 08:00:00+00:00,5.4694996
2015-01-09 09:00:00+00:00,5.7695
2015-01-09 10:00:00+00:00,6.5695
2015-01-09 11:00:00+00:00,7.4195
2015-01-09 12:00:00+00:00,7.6695
2015-01-09 13:00:00+00:00,7.5695
2015-01-09 14:00:00+00:00,7.6194997
2015-01-09 15:00:00+00:00,7.6194997
2015-01-09 16:00:00+00:00,7.8195
2015-01-09 17:00:00+00:00,7.9694996
2015-01-09 18:00:00+00:00,8.3695
2015-01-09 19:00:00+00:00,8.9695
2015-01-09 20:00:00+00:00,9.169499
2015-01-09 21:00:00+00:00,9.169499
2015-01-09 22:00:00+00:00,9.2695
2015-01-09 23:00:00+00:00,9.4695
2015-01-10 00:00:00+00:00,9.7195
2015-01-10 01:00:00+00:00,9.9695
2015-01-10 02:00:00+00:00,10.169499
2015-01-10 03:00:00+00:00,10.419499
2015-01-10 04:00:00+00:00,10.5195
2015-01-10 05:00:00+00:00,10.6195
2015-01-10 06:00:00+00:00,10.6195
2015-01-10 07:00:00+00:00,10.9695
2015-01-10 08:00:00+00:00,11.0195
2015-01-10 09:00:00+00:00,10.9695
2015-01-10 10:00:00+00:00,11.1195
2015-01-10 11:00:00+00:00,11.4695
2015-01-10 12:00:00+00:00,11.8695
2015-01-10 13:00:00+00:00,11.919499
2015-01-10 14:00:00+00:00,11.8695
2015-01-10 15:00:00+00:00,11.3195
2015-01-10 16:00:00+00:00,10.8195
2015-01-10 17:00:00+00:00,10.7195
2015-01-10 18:00:00+00:00,10.4695
2015-01-10 19:00:00+00:00,11.0695
2015-01-10 20:00:00+00:00,10.669499
2015-01-10 21:00:00+00:00,10.0695
2015-01-10 22:00:00+00:00,9.5695
2015-01-10 23:00:00+00:00,9.2195
2015-01-11 00:00:00+00:00,9.1195
2015-01-11 01:00:00+00:00,9.0695
2015-01-11 02:00:00+00:00,8.9695
2015-01-11 03:00:00+00:00,8.919499
2015-01-11 04:00:00+00:00,8.919499
2015-01-11 05:00:00+00:00,6.7695
2015-01-11 06:00:00+00:00,3.5195
2015-01-11 07:00:00+00:00,2.1195
2015-01-11 08:00:00+00:00,2.3195
2015-01-11 09:00:00+00:00,2.6695
2015-01-11 10:00:00+00:00,3.4195
2015-01-11 11:00:00+00:00,3.8695
2015-01-11 12:00:00+00:00,4.4694996
2015-01-11 13:00:00+00:00,4.7194996
2015-01-11 14:00:00+00:00,4.5195
2015-01-11 15:00:00+00:00,4.0195
2015-01-11 16:00:00+00:00,3.2695
2015-01-11 17:00:00+00:00,2.8695
2015-01-11 18:00:00+00:00,2.6695
2015-01-11 19:00:00+00:00,2.0195
2015-01-11 20:00:00+00:00,2.0695
2015-01-11 21:00:00+00:00,2.3195
2015-01-11 22:00:00+00:00,2.3195
2015-01-11 23:00:00+00:00,2.2695
2015-01-12 00:00:00+00:00,2.1195
2015-01-12 01:00:00+00:00,1.8195
2015-01-12 02:00:00+00:00,1.7695
2015-01-12 03:00:00+00:00,1.8195
2015-01-12 04:00:00+00:00,1.8195
2015-01-12 05:00:00+00:00,1.4195
2015-01-12 06:00:00+00:00,1.1695
2015-01-12 07:00:00+00:00,1.6195
2015-01-12 08:00:00+00:00,1.7695
2015-01-12 09:00:00+00:00,2.8695
2015-01-12 10:00:00+00:00,4.4694996
2015-01-12 11:00:00+00:00,5.9195
2015-01-12 12:00:00+00:00,7.5195
2015-01-12 13:00:00+00:00,8.669499
2015-01-12 14:00:00+00:00,8.8695
2015-01-12 15:00:00+00:00,8.919499
2015-01-12 16:00:00+00:00,8.0195
2015-01-12 17:00:00+00:00,6.5195
2015-01-12 18:00:00+00:00,4.4195
2015-01-12 19:00:00+00:00,2.0195
2015-01-12 20:00:00+00:00,1.0695
2015-01-12 21:00:00+00:00,0.36949998
2015-01-12 22:00:00+00:00,-0.1805
2015-01-12 23:00:00+00:00,-0.0305
2015-01-13 00:00:00+00:00,0.5695
2015-01-13 01:00:00+00:00,1.5695
2015-01-13 02:00:00+00:00,1.8695
2015-01-13 03:00:00+00:00,1.8195
2015-01-13 04:00:00+00:00,1.4195
2015-01-13 05:00:00+00:00,0.86950004
2015-01-13 06:00:00+00:00,0.16950001
2015-01-13 07:00:00+00:00,-1.0304999
2015-01-13 08:00:00+00:00,-0.1805
2015-01-13 09:00:00+00:00,2.8695
2015-01-13 10:00:00+00:00,7.2695
2015-01-13 11:00:00+00:00,10.0195
2015-01-13 12:00:00+00:00,11.7195
2015-01-13 13:00:00+00:00,12.4695
2015-01-13 14:00:00+00:00,12.169499
2015-01-13 15:00:00+00:00,11.1195
2015-01-13 16:00:00+00:00,9.5695
2015-01-13 17:00:00+00:00,8.0195
2015-01-13 18:00:00+00:00,7.0195
2015-01-13 19:00:00+00:00,7.2695
2015-01-13 20:00:00+00:00,6.6194997
2015-01-13 21:00:00+00:00,6.5695
2015-01-13 22:00:00+00:00,7.3195
2015-01-13 23:00:00+00:00,8.6195
2015-01-14 00:00:00+00:00,8.919499
2015-01-14 01:00:00+00:00,8.7695
2015-01-14 02:00:00+00:00,8.669499
2015-01-14 03:00:00+00:00,8.419499
2015-01-14 04:00:00+00:00,7.9195
2015-01-14 05:00:00+00:00,7.5695
2015-01-14 06:00:00+00:00,7.1194997
2015-01-14 07:00:00+00:00,7.0695
2015-01-14 08:00:00+00:00,6.7194996
2015-01-14 09:00:00+00:00,6.3195
2015-01-14 10:00:00+00:00,5.8694997
2015-01-14 11:00:00+00:00,5.6194997
2015-01-14 12:00:00+00:00,6.4694996
2015-01-14 13:00:00+00:00,7.2695
2015-01-14 14:00:00+00:00,7.6194997
2015-01-14 15:00:00+00:00,7.3195
2015-01-14 16:00:00+00:00,6.3195
2015-01-14 17:00:00+00:00,5.8195
2015-01-14 18:00:00+00:00,5.3195
2015-01-14 19:00:00+00:00,5.2695
2015-01-14 20:00:00+00:00,4.5195
2015-01-14 21:00:00+00:00,3.7195
2015-01-14 22:00:00+00:00,3.1195
2015-01-14 23:00:00+00:00,2.3195
2015-01-15 00:00:00+00:00,2.0695
2015-01-15 01:00:00+00:00,2.1695
2015-01-15 02:00:00+00:00,2.3695
2015-01-15 03:00:00+00:00,2.2195
2015-01-15 04:00:00+00:00,2.4195
2015-01-15 05:00:00+00:00,3.3695
2015-01-15 06:00:00+00:00,3.8195
2015-01-15 07:00:00+00:00,3.4195
2015-01-15 08:00:00+00:00,3.7695
2015-01-15 09:00:00+00:00,5.0695
2015-01-15 10:00:00+00:00,6.7695
2015-01-15 11:00:00+00:00,8.3695
2015-01-15 12:00:00+00:00,9.669499
2015-01-15 13:00:00+00:00,10.419499
2015-01-15 14:00:00+00:00,10.5695
2015-01-15 15:00:00+00:00,9.7695
2015-01-15 16:00:00+00:00,7.7194996
2015-01-15 17:00:00+00:00,5.9195
2015-01-15 18:00:00+00:00,4.5695
2015-01-15 19:00:00+00:00,3.3195
2015-01-15 20:00:00+00:00,2.6695
2015-01-15 21:00:00+00:00,1.8695
2015-01-15 22:00:00+00:00,1.5195
2015-01-15 23:00:00+00:00,1.4195
2015-01-16 00:00:00+00:00,1.0695
2015-01-16 01:00:00+00:00,0.6695
2015-01-16 02:00:00+00:00,0.46949998
2015-01-16 03:00:00+00:00,0.86950004
2015-01-16 04:00:00+00:00,1.3195
2015-01-16 05:00:00+00:00,1.2695
2015-01-16 06:00:00+00:00,0.86950004
2015-01-16 07:00:00+00:00,1.5695
2015-01-16 08:00:00+00:00,1.8695
2015-01-16 09:00:00+00:00,3.8195
2015-01-16 10:00:00+00:00,6.1194997
2015-01-16 11:00:00+00:00,7.7695
2015-01-16 12:00:00+00:00,8.4695
2015-01-16 13:00:00+00:00,8.7695
2015-01-16 14:00:00+00:00,8.7195
2015-01-16 15:00:00+00:00,8.2195
2015-01-16 16:00:00+00:00,7.1194997
2015-01-16 17:00:00+00:00,6.3195
2015-01-16 18:00:00+00:00,5.8195
2015-01-16 19:00:00+00:00,5.6695
2015-01-16 20:00:00+00:00,5.3195
2015-01-16 21:00:00+00:00,5.2695
2015-01-16 22:00:00+00:00,5.2194996
2015-01-16 23:00:00+00:00,4.9195
2015-01-17 00:00:00+00:00,4.5195
2015-01-17 01:00:00+00:00,4.1194997
2015-01-17 02:00:00+00:00,3.8195
2015-01-17 03:00:00+00:00,3.6195
2015-01-17 04:00:00+00:00,3.3695
2015-01-17 05:00:00+00:00,3.0695
2015-01-17 06:00:00+00:00,2.9195
2015-01-17 07:00:00+00:00,2.9195
2015-01-17 08:00:00+00:00,2.7195
2015-01-17 09:00:00+00:00,2.8695
2015-01-17 10:00:00+00:00,3.1195
2015-01-17 11:00:00+00:00,3.4695
2015-01-17 12:00:00+00:00,3.4695
2015-01-17 13:00:00+00:00,3.6695
2015-01-17 14:00:00+00:00,3.6195
2015-01-17 15:00:00+00:00,3.4695
2015-01-17 16:00:00+00:00,3.2195
2015-01-17 17:00:00+00:00,2.9195
2015-01-17 18:00:00+00:00,2.7195
2015-01-17 19:00:00+00:00,2.1695
2015-01-17 20:00:00+00:00,1.7195001
2015-01-17 21:00:00+00:00,0.9695
2015-01-17 22:00:00+00:00,0.16950001
2015-01-17 23:00:00+00:00,-0.28050002
2015-01-18 00:00:00+00:00,-0.4305
2015-01-18 01:00:00+00:00,-0.6805
2015-01-18 02:00:00+00:00,-0.9805
2015-01-18 03:00:00+00:00,-1.3805
2015-01-18 04:00:00+00:00,-1.7305
2015-01-18 05:00:00+00:00,-1.7305
2015-01-18 06:00:00+00:00,-2.1305
2015-01-18 07:00:00+00:00,-3.2305
2015-01-18 08:00:00+00:00,-2.9305
2015-01-18 09:00:00+00:00,-0.5305
2015-01-18 10:00:00+00:00,1.1695
2015-01-18 11:00:00+00:00,2.0195
2015-01-18 12:00:00+00:00,3.1695
2015-01-18 13:00:00+00:00,3.6695
2015-01-18 14:00:00+00:00,4.0195
2015-01-18 15:00:00+00:00,3.9195
2015-01-18 16:00:00+00:00,3.0695
2015-01-18 17:00:00+00:00,1.0695
2015-01-18 18:00:00+00:00,-0.5805
2015-01-18 19:00:00+00:00,-1.6805
2015-01-18 20:00:00+00:00,-1.7804999
2015-01-18 21:00:00+00:00,-1.8805
2015-01-18 22:00:00+00:00,-1.6805
2015-01-18 23:00:00+00:00,-1.2804999
2015-01-19 00:00:00+00:00,-0.9305
2015-01-19 01:00:00+00:00,-0.7305
2015-01-19 02:00:00+00:00,-0.63049996
2015-01-19 03:00:00+00:00,-0.6805
2015-01-19 04:00:00+00:00,-0.6805
2015-01-19 05:00:00+00:00,-0.5805
2015-01-19 06:00:00+00:00,-0.5305
2015-01-19 07:00:00+00:00,-0.8305
2015-01-19 08:00:00+00:00,-0.4305
2015-01-19 09:00:00+00:00,1.2195001
2015-01-19 10:00:00+00:00,2.7695
2015-01-19 11:00:00+00:00,3.6695
2015-01-19 12:00:00+00:00,4.2695
2015-01-19 13:00:00+00:00,4.4694996
2015-01-19 14:00:00+00:00,4.3195
2015-01-19 15:00:00+00:00,3.7695
2015-01-19 16:00:00+00:00,2.9695
2015-01-19 17:00:00+00:00,2.0195
2015-01-19 18:00:00+00:00,1.6195
2015-01-19 19:00:00+00:00,3.1195
2015-01-19 20:00:00+00:00,2.5195
2015-01-19 21:00:00+00:00,2.2695
2015-01-19 22:00:00+00:00,1.7695
2015-01-19 23:00:00+00:00,1.2195001
2015-01-20 00:00:00+00:00,0.9695
2015-01-20 01:00:00+00:00,0.7195
2015-01-20 02:00:00+00:00,0.6695
2015-01-20 03:00:00+00:00,0.46949998
2015-01-20 04:00:00+00:00,0.4195
2015-01-20 05:00:00+00:00,0.36949998
